Order ID,Order Date,Customer Name,Region,City,Category,Product Name,Discount,Sales,Profit,Payment Mode
10022,16-03-2024,Kashvi Ratti,North,Lucknow,Groceries,Wheat Natus,15,113739,27267,Credit Card
10023,02-11-2023,Vivaan Goyal,West,Surat,Books,Comics Aperiam,20,38159,8536,UPI
10024,10-07-2025,Nayantara Bhagat,East,Ranchi,Beauty,Face Cream Repellat,10,25431,3960,Credit Card
10025,21-06-2025,Lakshay Ramakrishnan,North,Chandigarh,Electronics,Headphones Itaque,20,96224,20552,COD
10026,13-01-2024,Dhanush Vaidya,South,Chennai,Groceries,Rice Impedit,5,124936,19545,UPI
10027,22-04-2025,Kimaya Rege,North,Lucknow,Beauty,Foundation Illo,0,8276,537,Net Banking
10028,12-12-2024,Anika Wable,East,Bhubaneswar,Furniture,Table Error,0,2193,214,UPI
10029,27-08-2025,Kavya Bhatnagar,North,Delhi,Toys,RC Car Amet,20,107336,22035,Net Banking
10030,22-04-2024,Adira Seshadri,North,Chandigarh,Groceries,Sugar Excepturi,15,337675,80310,Debit Card
10031,07-01-2025,Zaina Sidhu,West,Goa,Groceries,Wheat Consequuntur,10,45981,9818,Credit Card
10032,11-12-2023,Bhamini Kuruvilla,North,Jaipur,Sports,Cricket Bat Voluptatum,5,291243,40522,UPI
10033,24-06-2024,Kavya Saran,West,Ahmedabad,Furniture,Sofa Deleniti,20,193795,21971,Net Banking
10034,11-07-2025,Mannat Batta,East,Guwahati,Toys,RC Car Quam,20,61056,10008,Debit Card
10035,31-12-2023,Shayak Bala,South,Thiruvananthapuram,Toys,Action Figure Laboriosam,20,77234,13626,Net Banking
10036,08-03-2025,Hrishita Kumer,South,Thiruvananthapuram,Beauty,Lipstick Accusantium,15,24589,4644,Credit Card
10037,02-12-2024,Prisha Gaba,West,Surat,Sports,Dumbbells Quas,0,156934,9445,Credit Card
10038,19-10-2023,Arhaan Gole,North,Lucknow,Sports,Yoga Mat Quaerat,5,129671,8392,UPI
10039,30-09-2025,Shaan Bala,East,Ranchi,Toys,Puzzle Assumenda,0,121814,24379,COD
10040,16-11-2023,Taran Kala,North,Lucknow,Kitchen,Refrigerator Libero,10,40959,7786,Debit Card
10041,18-09-2024,Nitara Hayre,East,Guwahati,Toys,Board Game Consequuntur,20,307128,47122,UPI
10042,01-07-2025,Lavanya Tata,North,Amritsar,Toys,Doll Laborum,5,273405,26969,Debit Card
10043,11-02-2024,Badal Dada,West,Surat,Electronics,Camera A,0,137260,16783,Net Banking
10044,23-10-2024,Bhamini Sane,South,Coimbatore,Groceries,Rice Incidunt,20,256420,61655,Net Banking
10045,03-11-2023,Eva Babu,East,Guwahati,Books,Textbook Consequuntur,0,136404,33861,Debit Card
10046,20-11-2023,Prerak Saha,West,Pune,Books,Biography Magni,15,30776,5231,COD
10047,01-10-2025,Advik Sule,North,Delhi,Beauty,Perfume Quisquam,10,150776,23836,Credit Card
10048,03-09-2025,Divij Chawla,West,Surat,Sports,Tennis Racket Sapiente,5,287432,41217,Credit Card
10049,22-01-2025,Nirvaan Ben,North,Delhi,Toys,Puzzle Dolorem,10,63751,4232,UPI
10050,28-04-2024,Shlok Dayal,West,Ahmedabad,Clothing,Shoes Deleniti,0,33485,6131,COD
10051,04-05-2024,Vritika Cherian,East,Patna,Beauty,Perfume Rerum,5,40698,3936,UPI
10052,06-05-2025,Eshani Arya,East,Ranchi,Furniture,Sofa Omnis,5,245651,51928,UPI
10053,02-09-2025,Elakshi Bajwa,West,Goa,Books,Biography Illum,0,64880,11967,COD
10054,15-04-2024,Jayant Kala,West,Pune,Clothing,Women's Wear Odio,20,66475,8947,UPI
10055,09-12-2023,Biju Mannan,East,Bhubaneswar,Sports,Tennis Racket Ea,15,48044,10880,Debit Card
10056,19-05-2024,Alisha Sampath,North,Jaipur,Furniture,Bed Molestias,0,212310,11609,Net Banking
10057,05-12-2023,Rhea Krishnamurthy,East,Patna,Home Decor,Wall Art Excepturi,0,251704,40267,Credit Card
10058,16-10-2024,Samarth Chatterjee,East,Patna,Toys,Puzzle Ut,15,249808,56964,Net Banking
10059,09-10-2024,Ojas Konda,West,Pune,Furniture,Cabinet Odit,15,74526,17899,Net Banking
10060,16-05-2025,Heer Saran,West,Mumbai,Home Decor,Vase Necessitatibus,10,17748,4404,Credit Card
10061,30-04-2025,Manikya Dar,West,Ahmedabad,Sports,Football Eveniet,0,88325,17529,UPI
10062,09-04-2024,Azad Kunda,South,Chennai,Kitchen,Cookware Set Nisi,15,23377,5553,Debit Card
10063,26-01-2025,Drishya Apte,West,Pune,Kitchen,Juicer Totam,10,50517,2567,Debit Card
10064,27-12-2023,Shray Arya,West,Pune,Toys,Action Figure Cum,5,268348,50743,COD
10065,23-06-2024,Ritvik Madan,South,Bangalore,Books,Biography Nobis,15,95605,19264,UPI
10066,22-06-2024,Purab Batta,North,Chandigarh,Kitchen,Juicer Vero,0,69994,11130,COD
10067,28-05-2025,Purab Krishna,West,Surat,Kitchen,Mixer Grinder Recusandae,10,128830,14013,Credit Card
10068,23-02-2024,Manikya Srinivasan,West,Goa,Books,Biography Ad,5,184946,30145,COD
10069,24-11-2023,Raghav Gara,East,Bhubaneswar,Home Decor,Vase Molestiae,0,19506,2911,Net Banking
10070,02-01-2025,Raghav Sabharwal,East,Ranchi,Sports,Tennis Racket At,10,217022,52731,UPI
10071,31-08-2024,Tanya Vora,South,Bangalore,Sports,Tennis Racket Ipsa,5,7686,387,Net Banking
10072,18-06-2025,Mannat Dhaliwal,East,Ranchi,Toys,RC Car Eius,20,152570,13720,Debit Card
10073,01-04-2025,Drishya Korpal,North,Chandigarh,Home Decor,Cushion Quis,15,33613,4294,COD
10074,14-03-2024,Vritika Gade,West,Pune,Toys,Puzzle Nesciunt,15,258345,33334,Credit Card
10075,09-12-2024,Neysa Ganguly,North,Amritsar,Toys,Action Figure Placeat,20,20828,2957,Net Banking
10076,17-01-2025,Adah Kaul,West,Ahmedabad,Clothing,Kids Wear Aut,10,188393,36656,COD
10077,04-03-2025,Shalv Subramaniam,North,Lucknow,Kitchen,Cookware Set Libero,10,275674,39541,Net Banking
10078,10-04-2024,Chirag Hans,South,Bangalore,Electronics,Camera Nostrum,20,53998,6955,COD
10079,05-07-2024,Saanvi Deshmukh,West,Pune,Kitchen,Refrigerator Sequi,15,156448,8167,UPI
10080,17-02-2025,Yakshit Bajwa,West,Surat,Beauty,Lipstick At,10,249404,15673,Debit Card
10081,05-12-2023,Jayan Lall,South,Coimbatore,Furniture,Cabinet Nobis,5,25949,1306,Debit Card
10082,13-12-2024,Kashvi Bakshi,South,Hyderabad,Sports,Yoga Mat Deserunt,0,4714,548,COD
10083,20-06-2025,Myra Goda,East,Ranchi,Sports,Tennis Racket Cupiditate,10,112212,22964,Debit Card
10084,20-07-2024,Jayesh Ramachandran,West,Goa,Home Decor,Vase Similique,20,7142,1373,COD
10085,01-11-2024,Hazel Reddy,East,Bhubaneswar,Furniture,Cabinet Natus,5,15443,1765,Credit Card
10086,02-06-2025,Shamik Keer,East,Guwahati,Toys,Board Game Sequi,0,44480,8602,UPI
10087,29-03-2024,Saira Trivedi,West,Goa,Groceries,Oil Modi,0,186516,23035,Debit Card
10088,15-11-2023,Baiju Dube,North,Lucknow,Sports,Tennis Racket Aperiam,5,187426,44133,COD
10089,25-12-2024,Ehsaan Butala,South,Thiruvananthapuram,Books,Comics Voluptatibus,5,130629,15353,Net Banking
10090,26-02-2025,Bhavin Toor,West,Mumbai,Clothing,Kids Wear Ipsa,15,180486,19220,Credit Card
10091,08-06-2025,Romil Sawhney,East,Guwahati,Beauty,Lipstick Nostrum,0,181968,26323,Debit Card
10092,29-01-2025,Mamooty Mannan,North,Chandigarh,Electronics,Camera Ipsa,15,62529,13309,Credit Card
10093,11-01-2025,Reyansh Saraf,East,Patna,Furniture,Sofa Quaerat,5,123785,24340,UPI
10094,08-01-2025,Jayesh Madan,South,Hyderabad,Beauty,Perfume Qui,5,276268,35016,Debit Card
10095,12-01-2024,Kiaan Ranganathan,East,Patna,Electronics,Camera Temporibus,20,65309,5824,UPI
10096,31-05-2024,Riya Varughese,West,Pune,Groceries,Spices Reiciendis,0,72549,17203,Credit Card
10097,17-10-2024,Yasmin Warrior,East,Patna,Groceries,Oil Non,15,66388,12867,Credit Card
10098,26-11-2023,Vihaan Bhalla,West,Mumbai,Books,Fiction Nemo,0,270185,58811,Net Banking
10099,12-02-2024,Eshani Sani,South,Thiruvananthapuram,Sports,Yoga Mat Optio,0,319065,36797,Credit Card
10100,24-12-2023,Arnav Badami,North,Lucknow,Electronics,Mobile Harum,10,201636,41541,Credit Card
10101,16-06-2025,Umang Virk,South,Coimbatore,Clothing,Accessories Natus,10,47480,10986,Net Banking
10102,04-11-2024,Ira Soni,East,Bhubaneswar,Sports,Dumbbells Quos,10,4097,888,Credit Card
10103,14-08-2025,Arnav Karpe,East,Ranchi,Furniture,Sofa Repudiandae,20,304904,22939,Credit Card
10104,10-02-2025,Hansh Kaul,West,Surat,Toys,Doll Totam,15,79925,18762,Net Banking
10105,17-11-2023,Ela Srivastava,North,Lucknow,Home Decor,Lamp Pariatur,15,208549,40558,Net Banking
10106,19-05-2024,Elakshi Sachdev,West,Mumbai,Furniture,Table Laudantium,20,6898,677,Debit Card
10107,27-10-2024,Emir Ramanathan,South,Chennai,Sports,Dumbbells Aspernatur,5,117255,7180,Net Banking
10108,08-06-2024,Prisha Shenoy,South,Coimbatore,Clothing,Kids Wear Architecto,10,58896,11457,Debit Card
10109,07-09-2024,Parinaaz Luthra,North,Jaipur,Furniture,Bed Officiis,10,40469,3618,Debit Card
10110,05-01-2025,Aarna Bandi,West,Goa,Toys,RC Car Incidunt,10,103759,25442,Net Banking
10111,22-10-2024,Rasha Bansal,North,Amritsar,Electronics,Camera Dignissimos,10,54538,10555,Credit Card
10112,12-04-2024,Alisha Amble,North,Chandigarh,Kitchen,Microwave Vero,20,71352,5019,Net Banking
10113,04-10-2023,Aniruddh Ratti,South,Coimbatore,Furniture,Table Repudiandae,20,77522,10882,Net Banking
10114,30-11-2023,Ishita Bajwa,South,Bangalore,Home Decor,Cushion Dignissimos,0,234651,18949,COD
10115,23-11-2024,Farhan Sarkar,South,Chennai,Toys,Board Game Earum,15,81405,8268,COD
10116,15-05-2025,Aniruddh Kothari,West,Pune,Kitchen,Juicer In,20,82528,4856,Debit Card
10117,10-05-2024,Samar Kumar,East,Kolkata,Beauty,Lipstick Soluta,10,210627,20117,UPI
10118,30-01-2025,Ishaan Golla,East,Ranchi,Kitchen,Microwave Aperiam,5,33261,4190,UPI
10119,26-09-2024,Aniruddh Wagle,West,Surat,Kitchen,Microwave Reiciendis,20,197908,38221,Credit Card
10120,10-01-2025,Nishith Tara,South,Coimbatore,Sports,Yoga Mat Vel,15,46036,9506,COD
10121,16-05-2025,Yakshit Bakshi,South,Thiruvananthapuram,Sports,Football Eum,5,111325,9680,Debit Card
10122,25-04-2025,Navya Amble,South,Hyderabad,Electronics,Laptop Amet,0,6284,888,Debit Card
10123,23-06-2025,Heer Lata,North,Delhi,Groceries,Spices Non,20,253683,28532,UPI
10124,02-12-2024,Jiya Tandon,North,Jaipur,Clothing,Shoes Recusandae,20,52973,2833,Net Banking
10125,22-11-2024,Divyansh Kale,North,Lucknow,Kitchen,Juicer Deleniti,15,51999,10750,Debit Card
10126,03-06-2024,Raunak Raj,East,Patna,Books,Fiction Necessitatibus,15,135237,16864,Net Banking
10127,09-02-2025,Mehul Magar,North,Lucknow,Groceries,Oil Laboriosam,10,54821,8867,UPI
10128,12-11-2024,Gatik Sharma,West,Ahmedabad,Home Decor,Cushion Id,0,58821,9062,UPI
10129,31-07-2025,Dhanuk Dhar,North,Jaipur,Furniture,Table Placeat,10,24144,4041,Credit Card
10130,07-03-2024,Kavya Varty,South,Bangalore,Groceries,Spices Error,15,132864,12796,Credit Card
10131,03-07-2024,Ishaan Walia,South,Hyderabad,Electronics,Headphones Id,5,234707,30160,Net Banking
10132,22-08-2024,Oorja Sur,East,Patna,Clothing,Women's Wear Ipsa,20,9478,583,Credit Card
10133,01-08-2024,Dharmajan Lall,East,Kolkata,Toys,Puzzle Placeat,15,45081,2374,UPI
10134,23-01-2024,Shanaya Kala,North,Chandigarh,Furniture,Sofa Nulla,15,67414,6656,UPI
10135,06-08-2024,Rati Goel,South,Chennai,Electronics,Camera Culpa,5,126426,12468,Debit Card
10136,24-03-2024,Ivan Sarna,West,Mumbai,Toys,Doll Adipisci,5,102395,10208,Debit Card
10137,26-03-2025,Akarsh Hayre,East,Kolkata,Toys,Board Game Animi,5,59316,4811,UPI
10138,18-10-2024,Hrishita Bajaj,West,Surat,Furniture,Bed Accusantium,0,164648,22384,Debit Card
10139,15-01-2025,Prerak Shere,East,Guwahati,Electronics,Mobile Aspernatur,5,298589,66122,Credit Card
10140,13-08-2025,Kartik Seth,East,Patna,Books,Non-Fiction Quae,5,109600,26199,Debit Card
10141,29-09-2024,Riya Brahmbhatt,South,Hyderabad,Clothing,Kids Wear Tempora,10,46366,11129,UPI
10142,05-12-2023,Yuvraj  Bhardwaj,North,Delhi,Electronics,Mobile Ea,0,77892,7595,COD
10143,20-04-2024,Shamik Buch,East,Patna,Furniture,Cabinet Voluptatum,5,181640,26909,Debit Card
10144,02-04-2024,Divij Dara,South,Hyderabad,Sports,Tennis Racket Asperiores,0,81556,19815,COD
10145,14-08-2024,Jivin Hans,East,Bhubaneswar,Sports,Football Dolores,5,105198,7812,UPI
10146,13-11-2024,Vaibhav Rattan,South,Chennai,Furniture,Table Tenetur,15,41460,9356,UPI
10147,01-01-2024,Nayantara Kalita,West,Ahmedabad,Electronics,Smartwatch Eum,15,127163,8864,Net Banking
10148,14-01-2024,Shaan Sehgal,North,Delhi,Kitchen,Mixer Grinder Porro,20,61952,5189,UPI
10149,14-06-2024,Dhruv Garg,East,Ranchi,Kitchen,Juicer Reiciendis,5,40737,3037,Net Banking
10150,04-03-2024,Kavya Lanka,West,Surat,Books,Non-Fiction Commodi,10,40338,6760,UPI
10151,24-08-2025,Fateh Tripathi,North,Jaipur,Toys,Puzzle Repellendus,5,255584,24050,UPI
10152,25-08-2025,Manikya Bhattacharyya,South,Coimbatore,Groceries,Spices Suscipit,10,59092,14240,Net Banking
10153,11-07-2025,Tiya Mani,North,Jaipur,Kitchen,Microwave Officiis,0,26532,3837,UPI
10154,29-12-2023,Vihaan Loyal,West,Goa,Kitchen,Cookware Set Quo,5,92579,14376,COD
10155,12-12-2023,Ritvik Vyas,North,Jaipur,Home Decor,Clock Itaque,5,49451,8546,UPI
10156,22-12-2024,Ivana Hegde,West,Surat,Beauty,Foundation Nihil,5,166539,17273,Credit Card
10157,07-04-2024,Vardaniya Ramaswamy,East,Patna,Toys,Action Figure Enim,15,33338,2238,Debit Card
10158,03-02-2025,Ela Chakraborty,North,Lucknow,Toys,RC Car In,0,54312,10936,Net Banking
10159,21-06-2025,Taimur Tara,East,Ranchi,Clothing,Kids Wear Aliquid,0,15748,2755,COD
10160,31-07-2024,Hrishita Chanda,West,Pune,Electronics,Headphones Labore,10,122479,10610,COD
10161,26-09-2025,Myra Handa,West,Pune,Home Decor,Clock Officia,0,42325,8054,COD
10162,22-07-2024,Anvi Mammen,East,Patna,Furniture,Sofa Dolor,20,51014,4109,COD
10163,14-09-2024,Shamik Walla,East,Patna,Books,Biography Mollitia,0,215890,19440,Credit Card
10164,21-06-2024,Inaaya  Tandon,South,Hyderabad,Kitchen,Juicer Possimus,15,190404,16508,UPI
10165,21-08-2025,Shayak Sekhon,North,Amritsar,Home Decor,Cushion Quasi,5,270461,51178,Credit Card
10166,18-09-2025,Mehul Wable,West,Surat,Books,Comics Ad,5,108019,15879,Debit Card
10167,01-04-2025,Raghav Samra,West,Pune,Furniture,Table Expedita,15,20826,3866,Net Banking
10168,07-04-2024,Kiara Saha,West,Goa,Sports,Dumbbells Voluptatem,10,106979,24847,Credit Card
10169,21-03-2024,Yasmin Kamdar,South,Bangalore,Groceries,Wheat Beatae,0,127023,22888,COD
10170,28-07-2025,Inaaya  Walla,North,Lucknow,Sports,Tennis Racket Doloremque,10,104535,22068,Debit Card
10171,29-06-2024,Saira Kapoor,East,Guwahati,Sports,Football Nesciunt,0,119370,25753,Debit Card
10172,29-10-2024,Uthkarsh Grewal,North,Delhi,Kitchen,Mixer Grinder Officia,15,40275,4036,Net Banking
10173,16-01-2025,Amira Chakraborty,South,Hyderabad,Clothing,Men's Wear Quos,0,10635,1959,UPI
10174,16-04-2025,Nakul Srivastava,East,Patna,Toys,Action Figure Dolor,10,58459,6815,COD
10175,28-09-2024,Saanvi Vasa,East,Guwahati,Furniture,Bed Eius,20,37815,3813,Net Banking
10176,23-12-2023,Ritvik Agarwal,North,Jaipur,Beauty,Face Cream Id,15,90019,4562,Credit Card
10177,17-06-2024,Yasmin Sachdeva,North,Jaipur,Electronics,Camera At,0,80742,17592,Debit Card
10178,13-11-2024,Sara Chaudry,West,Ahmedabad,Toys,Board Game Ab,10,85212,9790,Debit Card
10179,21-10-2024,Aarush Vig,East,Kolkata,Furniture,Cabinet A,20,35493,8736,UPI
10180,25-03-2025,Drishya Dasgupta,West,Mumbai,Books,Biography Deserunt,0,54330,8922,UPI
10181,03-08-2024,Jayan Sidhu,South,Chennai,Groceries,Oil In,20,89446,11673,COD
10182,02-08-2024,Jivin Kaul,South,Thiruvananthapuram,Clothing,Accessories Culpa,0,50035,11418,UPI
10183,02-12-2023,Aaina Lalla,East,Ranchi,Home Decor,Lamp Exercitationem,0,16344,3724,Net Banking
10184,27-02-2025,Aayush Setty,East,Bhubaneswar,Electronics,Mobile Magnam,10,122153,24218,Credit Card
10185,09-10-2024,Jivin Cheema,South,Bangalore,Beauty,Perfume Neque,0,295896,36664,Net Banking
10186,20-04-2025,Ritvik Shah,North,Lucknow,Sports,Cricket Bat Delectus,5,139745,17302,Net Banking
10187,03-08-2024,Samiha Halder,South,Hyderabad,Kitchen,Cookware Set Minima,15,14562,2893,Credit Card
10188,23-06-2024,Emir Subramaniam,South,Coimbatore,Toys,Puzzle Nulla,0,20072,2542,Net Banking
10189,04-12-2023,Lakshay Kari,North,Chandigarh,Furniture,Chair Veniam,10,122288,16650,UPI
10190,19-10-2023,Navya Vora,East,Ranchi,Clothing,Shoes Dolores,20,46475,7881,Debit Card
10191,22-08-2024,Prerak Chakrabarti,East,Patna,Home Decor,Wall Art Quidem,15,51401,2930,Net Banking
10192,14-05-2025,Vedika Sane,East,Bhubaneswar,Sports,Football Architecto,10,87415,6314,Debit Card
10193,10-10-2023,Khushi Chada,South,Thiruvananthapuram,Books,Non-Fiction Aliquid,20,45990,10796,Debit Card
10194,16-08-2024,Mehul Lala,West,Surat,Kitchen,Refrigerator Quibusdam,5,64984,10470,COD
10195,02-01-2025,Lagan Walla,North,Delhi,Furniture,Sofa Voluptas,15,92334,8407,Net Banking
10196,24-08-2024,Manikya Wali,West,Ahmedabad,Sports,Yoga Mat Nam,0,13561,1297,Debit Card
10197,17-04-2024,Hunar Sastry,West,Mumbai,Furniture,Table Iusto,10,259477,34177,Debit Card
10198,22-01-2024,Tarini Talwar,West,Ahmedabad,Clothing,Accessories Aspernatur,5,114371,17661,Net Banking
10199,20-06-2024,Dharmajan Sampath,West,Surat,Furniture,Sofa Dolorum,10,87190,19168,Net Banking
10200,30-10-2024,Yakshit Tank,North,Delhi,Beauty,Face Cream Necessitatibus,20,203480,18437,COD
10201,11-07-2024,Nishith Bora,West,Goa,Clothing,Men's Wear Quia,15,62885,6713,Debit Card
10202,03-05-2024,Riya Thaker,East,Bhubaneswar,Toys,Board Game Ipsa,20,87123,7321,Debit Card
10203,10-02-2024,Baiju Barman,North,Jaipur,Toys,Doll Soluta,5,75977,11787,COD
10204,06-09-2025,Damini Kohli,West,Surat,Sports,Dumbbells Unde,10,234302,21939,UPI
10205,16-05-2025,Hansh Bali,East,Guwahati,Groceries,Rice Odit,5,61923,11144,UPI
10206,15-01-2025,Stuvan Arora,West,Mumbai,Clothing,Kids Wear Sed,10,52745,5397,Debit Card
10207,13-05-2024,Devansh Bhatti,West,Mumbai,Books,Non-Fiction Occaecati,10,79434,9293,Debit Card
10208,14-09-2024,Devansh Bains,West,Mumbai,Beauty,Shampoo Provident,5,92262,6637,UPI
10209,27-12-2024,Dhruv Srinivasan,West,Mumbai,Sports,Cricket Bat Minus,0,142437,13234,Credit Card
10210,24-12-2023,Chirag Grewal,East,Ranchi,Electronics,Headphones Similique,5,178082,27415,Net Banking
10211,16-03-2024,Kimaya Mallick,West,Mumbai,Groceries,Spices Incidunt,5,89120,6850,Credit Card
10212,06-05-2024,Purab Boase,South,Bangalore,Electronics,Headphones Maiores,10,342567,48726,COD
10213,20-03-2025,Ritvik Suri,West,Surat,Clothing,Women's Wear Iste,10,108990,22383,Debit Card
10214,11-01-2024,Samarth Sibal,South,Chennai,Groceries,Oil Sunt,5,122091,30284,COD
10215,03-03-2024,Ranbir Randhawa,South,Bangalore,Furniture,Sofa Vel,0,85060,4989,Net Banking
10216,17-07-2025,Pihu Srinivasan,South,Bangalore,Furniture,Bed Architecto,15,129864,11599,UPI
10217,08-03-2025,Hunar Mand,East,Patna,Books,Fiction Dolorem,15,99263,7994,UPI
10218,01-12-2024,Fateh Shroff,North,Delhi,Sports,Tennis Racket Rem,20,159880,13770,Net Banking
10219,07-03-2025,Piya Korpal,North,Jaipur,Electronics,Headphones Recusandae,10,69008,15769,UPI
10220,22-11-2024,Dishani Ranganathan,South,Coimbatore,Toys,RC Car Quam,15,32324,4420,UPI
10221,10-01-2025,Raunak Krishnamurthy,West,Pune,Beauty,Shampoo Rem,15,56188,9407,Debit Card
10222,03-03-2024,Devansh Karnik,South,Coimbatore,Furniture,Chair Sint,15,14059,766,Debit Card
10223,02-10-2024,Misha Setty,West,Ahmedabad,Beauty,Lipstick Atque,5,43432,8765,Credit Card
10224,04-09-2025,Hridaan Karnik,West,Pune,Books,Non-Fiction Porro,15,131653,24358,Net Banking
10225,12-11-2023,Jayesh Kalita,West,Pune,Kitchen,Mixer Grinder Aperiam,0,212187,12131,UPI
10226,14-05-2024,Madhav Jaggi,West,Mumbai,Kitchen,Mixer Grinder Placeat,0,288705,70358,Net Banking
10227,18-07-2024,Priyansh Gour,North,Chandigarh,Groceries,Rice Ullam,10,295358,58308,COD
10228,03-09-2025,Shray Dugar,North,Jaipur,Groceries,Spices Cum,10,47053,10507,Net Banking
10229,04-05-2024,Rhea Ratti,South,Coimbatore,Clothing,Accessories Est,10,187682,30495,Net Banking
10230,07-08-2024,Akarsh Kala,West,Goa,Kitchen,Cookware Set Nihil,20,31020,2254,Net Banking
10231,06-11-2024,Neysa Kothari,East,Ranchi,Sports,Cricket Bat Ex,20,91043,17254,UPI
10232,16-02-2024,Shaan Seth,North,Amritsar,Home Decor,Wall Art Earum,20,37200,7575,UPI
10233,28-11-2024,Adira Dar,South,Coimbatore,Home Decor,Clock Optio,20,235354,32457,UPI
10234,14-08-2025,Mehul Bose,East,Bhubaneswar,Home Decor,Clock Maiores,5,147336,21418,COD
10235,17-07-2025,Reyansh Mahajan,East,Guwahati,Groceries,Sugar Iusto,15,33952,7336,Debit Card
10236,04-02-2025,Dhruv Bhattacharyya,West,Surat,Beauty,Shampoo Libero,20,59053,3757,Debit Card
10237,14-12-2024,Advika Ramakrishnan,South,Hyderabad,Electronics,Headphones Exercitationem,0,60444,5068,Net Banking
10238,01-02-2024,Eshani Anand,South,Bangalore,Books,Biography Deleniti,15,29895,7349,COD
10239,15-07-2025,Vardaniya Borra,East,Guwahati,Electronics,Headphones Doloribus,20,229340,28515,Net Banking
10240,26-10-2024,Misha Batra,South,Thiruvananthapuram,Clothing,Women's Wear Delectus,10,32735,4322,COD
10241,30-10-2023,Vaibhav Kunda,East,Bhubaneswar,Kitchen,Juicer Sint,15,58761,13789,Credit Card
10242,29-12-2023,Kimaya Vala,South,Coimbatore,Home Decor,Wall Art Tenetur,0,260200,18190,COD
10243,13-02-2025,Onkar Verma,East,Kolkata,Electronics,Camera Minus,20,85384,15862,Debit Card
10244,19-09-2024,Shanaya Bhat,South,Coimbatore,Sports,Tennis Racket Sed,0,61992,5891,Credit Card
10245,30-10-2023,Pihu Varghese,West,Goa,Kitchen,Mixer Grinder Aliquam,15,2659,362,UPI
10246,31-03-2024,Zain Sen,South,Bangalore,Clothing,Men's Wear Ex,15,100572,22121,COD
10247,24-02-2025,Suhana Ganguly,South,Thiruvananthapuram,Groceries,Spices Pariatur,10,51149,5324,Net Banking
10248,18-03-2025,Manjari Mangal,East,Bhubaneswar,Furniture,Cabinet Nisi,15,50811,8499,Debit Card
10249,13-06-2024,Yasmin Sekhon,East,Ranchi,Electronics,Smartwatch Tempore,15,105723,22061,Debit Card
10250,18-10-2023,Faiyaz Issac,East,Kolkata,Furniture,Table Deserunt,15,85439,10418,UPI
10251,24-09-2024,Darshit Hans,West,Pune,Home Decor,Clock Perferendis,5,114684,11744,Credit Card
10252,02-03-2024,Charvi Shenoy,North,Lucknow,Toys,Doll Assumenda,5,119981,23234,COD
10253,21-05-2024,Khushi Bhalla,South,Hyderabad,Clothing,Men's Wear Aliquid,0,289565,61458,COD
10254,16-01-2025,Samarth Biswas,West,Goa,Clothing,Women's Wear Totam,10,104897,17061,COD
10255,07-11-2023,Badal Mangal,East,Ranchi,Home Decor,Cushion Ipsum,10,29124,7278,Debit Card
